,comercio_id,mes_operacion,estado,moneda,num_transacciones,monto_transaccion,monto_contracargo_venta
255,29,01/07/21,FAILED,MXN,"38,001",7609673.83,0.0
256,29,01/07/21,ERROR,MXN,54,11817.01,0.0
257,29,01/08/21,COMPLETED,MXN,"42,128",9424509.69,312336.35
258,29,01/08/21,FAILED,MXN,"39,266",7737701.21,0.0
259,29,01/08/21,ERROR,MXN,15,2658.95,0.0
260,30,01/07/21,FAILED,MXN,"36,917",73085063.52,0.0
261,30,01/07/21,COMPLETED,MXN,"24,636",28384151.49,15524.46
262,30,01/07/21,EXPIRED,MXN,"4,190",7910050.94,0.0
263,30,01/07/21,CANCELLED,MXN,"1,551",5108261.88,0.0
264,30,01/07/21,ERROR,MXN,191,326962.91,0.0
265,30,01/07/21,IN_PROGRESS,MXN,143,356737.87,0.0
266,30,01/08/21,FAILED,MXN,"46,288",101760924.62,0.0
267,30,01/08/21,COMPLETED,MXN,"28,263",33005052.32,18384.94
268,30,01/08/21,EXPIRED,MXN,"4,356",8740126.67,0.0
269,30,01/08/21,CANCELLED,MXN,"2,153",7651063.94,0.0
270,30,01/08/21,IN_PROGRESS,MXN,244,798238.55,0.0
271,30,01/08/21,ERROR,MXN,34,38876.93,0.0
272,31,01/07/21,FAILED,MXN,"45,143",56351159.5,0.0
273,31,01/07/21,COMPLETED,MXN,"32,273",28590585.0,935597.0
274,31,01/07/21,ERROR,MXN,521,599844.0,0.0
275,31,01/08/21,FAILED,MXN,"42,678",46805425.0,0.0
276,31,01/08/21,COMPLETED,MXN,"25,447",21145658.0,900856.5
277,31,01/08/21,ERROR,MXN,470,580103.0,0.0
278,32,01/07/21,COMPLETED,MXN,"4,446",1553408.58,0.0
279,32,01/07/21,FAILED,MXN,"4,070",1472414.49,0.0
280,32,01/07/21,IN_PROGRESS,MXN,"1,268",1543183.19,0.0
281,32,01/08/21,IN_PROGRESS,MXN,"133,710",930216090.36,0.0
282,32,01/08/21,COMPLETED,MXN,"1,083",417919.13,0.0
283,32,01/08/21,FAILED,MXN,159,125415.07,0.0
284,33,01/07/21,COMPLETED,MXN,"72,289",226705365.87,0.0
285,33,01/07/21,FAILED,MXN,557,1217936.66,0.0
286,33,01/07/21,CANCELLED,MXN,41,83434.09,0.0
287,33,01/08/21,COMPLETED,MXN,"70,826",221793119.41,0.0
288,33,01/08/21,FAILED,MXN,568,1304048.58,0.0
289,33,01/08/21,CANCELLED,MXN,5,9001.5,0.0
290,34,01/07/21,COMPLETED,MXN,"39,714",860666266.45,129354.96
291,34,01/07/21,FAILED,MXN,"20,845",765889202.57,0.0
292,34,01/07/21,EXPIRED,MXN,"1,220",68296212.09,0.0
293,34,01/07/21,ERROR,MXN,232,5627572.96,0.0
294,34,01/08/21,COMPLETED,MXN,"53,122",1235608055.79,213866.2
295,34,01/08/21,FAILED,MXN,"25,648",967836669.39,0.0
296,34,01/08/21,EXPIRED,MXN,"1,383",82847872.66,0.0
297,34,01/08/21,ERROR,MXN,29,718303.85,0.0
298,35,01/07/21,IN_PROGRESS,MXN,"59,790",495300673.97,0.0
299,35,01/07/21,COMPLETED,MXN,367,2052841.0,0.0
300,35,01/07/21,FAILED,MXN,140,615168.51,0.0
301,35,01/08/21,IN_PROGRESS,MXN,"73,807",649431425.44,0.0
302,35,01/08/21,COMPLETED,MXN,422,2157473.0,0.0
303,35,01/08/21,FAILED,MXN,151,624787.75,0.0
304,36,01/07/21,COMPLETED,MXN,"60,194",198661741.48,0.0
305,36,01/07/21,FAILED,MXN,"4,240",15025418.79,0.0
306,36,01/07/21,CANCELLED,MXN,74,206588.0,0.0
307,36,01/08/21,COMPLETED,MXN,"59,997",198184124.53,0.0
308,36,01/08/21,FAILED,MXN,530,1549415.9,0.0
309,36,01/08/21,CANCELLED,MXN,2,10000.0,0.0
310,37,01/07/21,COMPLETED,MXN,"33,913",9611915.41,16541.59
311,37,01/07/21,FAILED,MXN,"20,267",8344988.85,0.0
312,37,01/07/21,ERROR,MXN,15,4330.91,0.0
313,37,01/08/21,COMPLETED,MXN,"36,669",10371518.49,15628.15
314,37,01/08/21,FAILED,MXN,"22,509",9445382.39,0.0
315,37,01/08/21,ERROR,MXN,3,897.0,0.0
316,38,01/07/21,COMPLETED,MXN,"31,719",25583304.0,292316.0
317,38,01/07/21,FAILED,MXN,"19,060",18943745.0,0.0
318,38,01/07/21,EXPIRED,MXN,"1,063",857947.0,0.0
319,38,01/07/21,IN_PROGRESS,MXN,716,619268.0,0.0
